a-bomb,bom nguyên tử
nymphomaniacal,(y học) chứng cuồng dâm (của đàn bà)
nystagmus,(y học) chứng giật cầu mắt
oer,(thơ ca) (như) over
o.pip,đài quan sát
oak-nut,(thực vật học) vú lá sồi
oak-wood,rừng sồi
oaken,bằng gỗ sồi
oaklet,cây sồi non
oakling,cây sồi non
oakum,xơ dây thừng cũ (dùng để bịt khe hở ở thuyền...)
oar,mái chèo
oar-lock,cọc chèo
oarage,(thơ ca) mái chèo (nói chung)
oarless,không có mái chèo
oarsmanship,nghệ thuật chèo đò; tài chèo đò
oary,(thơ ca) hình bơi chèo
oast,lò sấy hoa bia; lò sấy mạch nha; lò sấy thuốc lá
oast-house,nhà sấy hoa bia; nhà sấy mạch nha; nhà sấy thuốc lá
oat,(thực vật học) yến mạch
oatcake,bánh yến mạch
oath-breaker,người không giữ lời thề
oath-breaking,sự không giữ lời thề
oatmeal,bột yến mạch
obbligato,(âm nhạc) bắt buộc (phần đệm)
obconical,(thực vật học) hình nón ngược
obcordate,(thực vật học) hình tim ngược
obeah,ma thuật (của người da đen)
obedientiary,cha (ở tu viện)
obi,(như) obeah
obiit,tạ thế (viết kèm theo ngày chết)
obiter,nhân tiện
obituarist,người viết cáo phó
obituary,lời cáo phó
object-ball,quả bóng mục tiêu (trong bi-a)
object-finder,(nhiếp ảnh) kính ngắm
object-plate,mâm để vật quan sát (trong kính hiển vi)
object-staff,cái mia ngắm (của người quan sát địa chất)
objectify,làm thành khách quan; thể hiện khách quan
objectionable,có thể bị phản đối; đáng chê trách
objectiveness,tính khách quan
objectivism,chủ nghĩa khách quan
objectivity,tính khách quan
objectless,không có đối tượng
oblate,(tôn giáo) người tu hiểu hết tài sản cho tôn giáo
oblation,lễ dâng bánh cho thượng đế
oblational,(thuộc) lễ dâng bánh cho thượng đế
oblatory,(thuộc) lễ dâng bánh cho thượng đế
obligee,(pháp lý) người nhận giao ước
obligor,(pháp lý) người giao ước
obliviousness,tính lãng quên
oblong,có hình thuôn
obmutescence,sự lầm lì im lặng
obmutescent,lầm lì im lặng
oboe,(âm nhạc) kèn ôboa
oboist,(âm nhạc) người thổi kèn ôboa
obol,đồng ôbôn (tiền cổ hy-lạp)
obscurant,người chủ trương ngu đần
obscurantism,chính sách ngu đần
obscurantist,người theo chính sách ngu dân
observatory,đài thiên văn
obsess,ám ảnh | bị một ý nghĩ ám ảnh
obsession,sự ảm ảnh; tình trạng bị ám ảnh
obsessive,ám ảnh
obstetric,(y học) (thuộc) khoa sản
obstetrical,(y học) (thuộc) khoa sản
obstetrics,(y học) khoa sản
obstipant,(y học) chất làm táo bón
obstipation,(y học) sự táo bón
obtect,(động vật học) có bao kitin bọc ngoài (nhộng sâu bọ)
obtruncate,cắt cụt đầu cây
obversion,sự xoay mặt chính (của một vật gì về phía nào đó)
obvert,xoay mặt chính (của một vật gì về phía nào đó)
obvolute,(thực vật học) cuốn ngược
obvolution,(thông tục) sự cuốn ngược
ocarina,(âm nhạc) kèn ocarina
occasionalism,(triết học) thuyết ngẫu nhiên
occasionalist,(triết học) người theo thuyết ngẫu nhiên
occident,phương tây; tây âu; châu âu; âu mỹ; châu mỹ
occidental,(thuộc) phương tây; (thuộc) tây âu; (thuộc) âu mỹ
occidentalist,người theo văn minh phương tây
occipital,(giải phẫu) (thuộc) chẩm | xương chẩm
occultism,thuyết huyền bí
occultist,nhà huyền bí
occultness,tính huyền bí
occupational,(thuộc) nghề nghiệp | bệnh nghề nghiệp
ocean-going,đi biển (tàu bè)
oceanian,(thuộc) châu đại dương
oceanographer,nhà hải dương học
oceanographic,(thuộc) hải dương học
oceanographical,(thuộc) hải dương học
oceanography,hải dương học
ocellate,(động vật học) có mắt đơn (sâu bọ)
ocellated,(động vật học) có mắt đơn (sâu bọ)
ocelli,(động vật học) mắt đơn (sâu bọ)
ocellus,(động vật học) mắt đơn (sâu bọ)
ochlocracy,chính quyền quần chúng
ochlocrat,người tán thành chính quyền quần chúng
ochre,đất son
ochreish,có màu đất son
octachord,(âm nhạc) có tám dây (đàn)
octachordal,(âm nhạc) (thuộc) đàn tám dây
octahedral,(toán học) tám mặt
octahedron,(toán học) hình tám mặt
octamerous,(thực vật học) mẫu 8 (con số các bộ phận trong hoa)
octane,(hoá học) octan
octarchy,sự liên minh tay tám (của tám tiểu vương quốc)
octaroon,người da đen 1 voành (có 1 voành máu người da đen)
octastyle,có tám cột (cửa vòm nhà...)
octateuch,tám tập đầu (của kinh cựu ước)
octave,(âm nhạc) quãng tám; tổ quãng tám
octave-flute,(âm nhạc) picôliô
octavo,(ngành in) khổ tám
octillion,(anh-đức) một triệu luỹ thừa 8
octingentenary,lễ kỷ niệm lần thứ tám trăm
octobrist,(thuộc) phái tháng mười (nga)
octocentenary,lễ kỷ niệm lần thứ tám trăm
octocentennial,lễ kỷ niệm lần thứ tám trăm
octodecimo,khổ mười tám (giấy)
octogenarian,thọ tám mươi tuổi
octonarian,có tám âm tiết (câu thơ)
octonary,(như) octnal
octoroon,người da đen 1 voành (có 1 voành máu người da đen)
octosyllabic,tám âm tiết (câu thơ)
octosyllable,câu thơ tám ân tiết
octroi,thuế nhập thị (đánh vào các hàng mang vào thành phố)
octuple,gấp tám lần
ocularist,người làm mắt giả
oculat,(động vật học) có mắt đơn (sâu bọ)
oculated,(động vật học) có mắt đơn (sâu bọ)
oculist,(y học) thầy thuốc khoa mắt; chuyên gia về mắt
oculistic,(y học) (thuộc) khoa mắt
od,lực kỳ lạ
odalisque,thị tỳ (trong cung vua thổ-nhĩ-kỳ)
odd-come-shortly,ngày gần đây nhất
oddfellow,hội viên hội ái hữu ôc-phen-lô
oddly,lẻ
ode,thơ ca ngợi
odious,ghê tởm
odiousness,tính ghê tởm
odograph,máy ghi đường (ghi quâng đường đi của xe ô tô...)
odontalgia,sự đau răng
odontoblast,(giải phẫu) tế bào tạo răng
odontoblastic,(giải phẫu) tế bào tạo răng
odontoglossum,(thực vật học) lan răng lưỡi
odontological,(thuộc) khoa răng
odontology,(y học) khoa răng
odorous,(thơ ca) (như) odoriferous
odourless,không có mùi
odyssey,ô-đi-xê (tác phẩm)
oecology,sinh thái học
oecumenicity,tính chất toàn thế giới
oedipus,người giải đáp câu đố
oeillade,cái liếc mắt đưa tình
oersted,(vật lý) ơxtet
oesophageal,(giải phẫu) (thuộc) thực quản
oesophagi,(giải phẫu) thực quản
oesophagus,(giải phẫu) thực quản
oestrum,sự kích thích mạnh
oestrus,sự động hớn (của súc vật)
off-black,đen nhờ nhờ
off-licence,môn bài bán rượu chai (để uống ngoài cửa hàng)
off-print,bản in thêm riêng (một bài đăng trên tạp chí...)
off-saddle,tháo yên (ngựa)
off-the-peg,may sẵn (quần áo)
off-white,trắng nhờ nhờ
offendedly,xúc phạm
offertory,(tôn giáo) lễ dâng bánh rượu
office-boy,em bé chạy giấy ở cơ quan; em bé làm việc vặt ở cơ quan
officialdom,chế độ quan liêu hành chính
officialese,văn công văn giấy tờ
officialism,chế độ quan liêu hành chính
officially,chính thức
officinal,(y học) dùng làm thuốc
offshoot,(thực vật học) cành vượt | một chị họ
oflag,trại giam sĩ quan (đức)
ogam,chữ ogam (hệ thống chữ cái của anh và ai-len)
ogee,(kiến trúc) có đường xoi (hình) chữ s
ogham,chữ ogam (hệ thống chữ cái của anh và ai-len)
ogival,có hình cung nhọn
ogive,hình cung nhọn; vòm hình cung nhọn
ogle,cái liếc mắt đưa tình
ogler,người liếc mắt đưa tình
ohm,(vật lý) ôm | ôm quốc tế||@ohm|- ôm|- mechanical o. ôm cơ
ohmic,(vật lý) ômic
ohmmeter,(vật lý) cái đo ôm
oil-coat,áo vải dầu (không thấm nước)
oil-gilding,vàng lá thiếp dầu
oil-gland,(sinh vật học) tuyến bã nhờn
oil-gold,vàng lá thiếp dầu
oil-hole,lỗ cho dầu
oil-meal,bột khô dầu (hạt đay)
oil-nut,(thực vật học) hạt thầu dầu
oil-painting,nghệ thuật vẽ tranh sơn dầu
oil-paper,giấy dầu
oil-press,máy ép dầu
oil-seed,hạt có dầu
oil-spring,nguồn dầu
oil-stone,đá mài (mài với dầu)
oilcake,bánh khô dầu
oilcan,thùng dầu
oilcloth,vải dầu
oiled,có tra dầu
oiler,tàu chở dầu
oilfield,vùng có dầu
oiliness,tính chất nhờn
oilskin,vải dầu
ointment,thuốc mỡ
okapi,(động vật học) hươu đùi vằn
okra,(thực vật học) cây mướp tây
old-clothesman,người bán quần áo cũ
old-fashionedness,sự không hợp thời trang
old-wife,bà già
oldish,hơi già
oleaginous,nhờn
oleander,(thực vật học) cây trúc đào
oleaster,(thực vật học) cây nhót đắng
oleic,(hoá học) oleic acid axit oleicz
olein,(hoá học) olein
oleograph,tranh in dầu
oleographic,(thuộc) thuật in tranh dầu; như tranh in dầu
oleography,thuật in tranh dầu
oleometer,cái đo tỷ trọng dầu
oleoresin,nhựa dầu (của cây)
olfaction,sự ngửi
oligarch,đầu sỏ chính trị
oligarchic,(thuộc) chính trị đầu xỏ
oligarchical,(thuộc) chính trị đầu xỏ
oligarchy,chính trị đầu xỏ
oligocarpous,ít quả (cây)
olio,món ăn hổ lốn
olive-branch,cành ôliu (tượng trưng cho hoà bình)
olivet,khuy áo nhỏ hình quả ôliu
olivette,khuy áo nhỏ hình quả ôliu
olivine,(khoáng chất) olivin
olympian,(thuộc) núi ô-lim-pi
olympic,ô-lim-pích
olympus,núi ô-lim-pi
ombre,lối chơi bài ombơ (ở thế kỷ 17 và 18)
ombrology,khoa nghiên cứu mưa
ombrometer,cái đo mưa
omelet,trứng tráng
omelette,trứng tráng
omental,(giải phẫu) (thuộc) màng nối
omicron,o ngắn (chữ cái hy-lạp)
omnibus,xe ô tô hai tầng | bản dự luật gồm nhiều mục
omnibus-train,(ngành đường sắt) xe chợ (ga nào cũng ghé)
omnibuses,xe ô tô hai tầng | bản dự luật gồm nhiều mục
omnicompetent,có quyền lực trong mọi trường hợp
omnifarious,nhiều loại
omnipresence,sự có mặt ở khắp mọi nơi
omnipresent,có mặt ở khắp nơi
omnivore,động vật ăn tạp
omnivorousness,(động vật học) tính ăn tạp
omophagia,sự ăn thịt sống
omophagic,ăn thịt sống
omophagist,người ăn thịt sống; thú ăn thịt sống
omophagous,ăn thịt sống
omophalocele,(y học) thoát vị rốn
omophalotomy,(y học) sự cắt dây rốn
omoplate,(giải phẫu) xương bả vai
on-position,(kỹ thuật) vị trí làm việc
onager,(động vật học) lừa rừng (trung á)
onagri,(động vật học) lừa rừng (trung á)
onanism,sự giao hợp nửa vời (chưa phóng tinh đã rút ra)
oncer,(thông tục) người chỉ đi lễ ngày chủ nhật
oncological,(thuộc) khoa ung thư
oncology,(y học) khoa ung thư
oncosis,(y học) sự tiêu huỷ xương
ondometer,(rađiô) cái đo sóng
one-aloner,người cô độc
one-decker,(hàng hải) tàu một boong
one-handed,một tay
one-pair,căn phòng ở tầng hai
one-step,(âm nhạc) điệu nhảy một nhịp
one-track,chỉ có một đường (đường sắt) | trí óc thiển cận
oneirocritic,người đoán mộng
oneirocritical,(thuộc) phép đoán mộng
oneirocriticism,phép đoán mộng
oneiromancy,thuật bói mộng
onflow,dòng nước chảy
onion,củ hành
onion-bed,đất trồng hành
onion-skin,vỏ hành
onlooker,người xem
onomastic,(thuộc) khoa nghiên cứu tên riêng
onomastics,khoa nghiên cứu tên riêng
onomatop,từ tượng thanh
onomatope,từ tượng thanh
onomatopoeia,sự cấu tạo từ tượng thanh
onshore,về phía bờ (biển) | cuộc tuần tra trên bờ
ontogenesis,(sinh vật học) sự phát triển cá thể ((cũng) ontogeny)
ontogenetic,(sinh vật học) (thuộc) sự phát triển cá thể
